ID_opera	Spazi geografici	Tipologia del luogo	Tipologia dello Spazio	Note sullo spazio	Interpretazione	osm_id	lat_long
1	Sanremo	paese	Aperto > Urbano > Paese			42651	43.8198253,7.7748827
2	Liguria	città	Aperto > Urbano > Città	Una città non specificata in Liguria		301482	44.4777617,8.7026296
3	Torino	città	Aperto > Urbano > Città			43992	45.0677551,7.6824892
4	Torino	città	Aperto > Urbano > Città			43992	45.0677551,7.6824892
5	Isola di Ocana	mare	Aperto > Naturale > Acquatico > Mare				38.7200, -24.2200
6							
7	Torino	città	Aperto > Urbano > Città			43992	45.0677551,7.6824892
8	Torino	campagna	Aperto > Naturale > Rurale > Campagna			43992	45.0677551,7.6824892
9							
10	Torino	interno	Chiuso > Edificio			43992	45.0677551,7.6824892
11	Rio delle Amazzoni	bosco	Aperto > Naturale > Arboreo > Bosco			172122662	0.1865944,-50.7348369
11	Europa non specificato	bosco, mare	Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Mare				
12	Non specificato (forse Sud America?)	montagna	Aperto > Naturale > Rilievo > Montagna				38.7200, -24.2200
13	Non specificato (forse Sud America?)	interno	Chiuso > Edificio				38.7200, -24.220
14	Villacidro	campagna, paese, bosco	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco			39919	39.4569925,8.7367219
15	Zurigo 	città, montagna, paese	Aperto > Urbano > Città; Aperto > Naturale > Rilievo > Montagna; Aperto > Urbano > Paese	Crispoli		1682248	47.3744489,8.5410422
15	Widmad						38.7200, -24.2200
15	Lewrosen						38.7200, -24.220
16	Seveso	città	Aperto > Urbano > Città			45608	45.6434655,9.1373787
17	Seveso	città	Aperto > Urbano > Città			45608	45.6434655,9.1373787
18	Campagna lombarda intorno al fiume Lambro 	campagna, paese, pianura, fiume	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Paese; Aperto > Naturale > Irriguo > Pianura; Aperto > Naturale > Acquatico > Fiume			570545	45.5302185,9.2659323
19	Maremma Toscana	campagna, paese, pianura	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Paese; Aperto > Naturale > Irriguo > Pianura	Campagna toscana ma tutta l’Italia è coinvolta dall’apocalisse		4279861	42.6303496,11.1095079
20	Terra	città, campagna	Aperto > Urbano > Città; Aperto > Naturale > Rurale > Campagna			267187327	34.9656724,32.4248003
21	Alta Maremma	pianura	Aperto > Naturale > Irriguo > Pianura				
22	Hindenburg	montagna, pianura, paese, bosco, fiume	Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Irriguo > Pianura; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Fiume			3641174	52.7533929,11.9288673
22	Roccia del Piandot	montagna, pianura, paese, bosco, fiume	Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Irriguo > Pianura; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Fiume				
22	Sasso della Campanula	montagna, pianura, paese, bosco, fiume	Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Irriguo > Pianura; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Fiume				
22	Klagenfurt	montagna, pianura, paese, bosco, fiume	Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Irriguo > Pianura; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Fiume			105870	46.6239430,14.3075976
22	Gorizia	montagna, pianura, paese, bosco, fiume	Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Irriguo > Pianura; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Fiume	(ma tutti i toponimi sono nella stessa zona...)		179075	45.9441278,13.6252288
22	Altipiano di Asiago	montagna, pianura, paese, bosco, fiume	Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Irriguo > Pianura; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Fiume			18558498	45.5568695,10.2232761
23	Maremma Toscana	città, paese, campagna	Aperto > Urbano > Città; Aperto > Urbano > Paese; Aperto > Naturale > Rurale > Campagna	Firenze; Pisa; Cecina; Volterra		4279861	42.6303496,11.1095079
24	Maremma Toscana	paese, città, campagna	Aperto > Urbano > Paese; Aperto > Urbano > Città; Aperto > Naturale > Rurale > Campagna	Firenze; Pisa; Cecina; Volterra		4279861	42.6303496,11.1095079
25	Malo 	paese, fiume, bosco, campagna	Aperto > Urbano > Paese; Aperto > Naturale > Acquatico > Fiume; Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Rurale > Campagna			45550	45.6602960,11.4074930
26	Italia, sicuramente, forse Campania? Sicuramente non Roma	interno, paese, bosco	Chiuso > Edificio; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco				
